# Silly Display Names for Scripture Memory App
# Format: {Adjective} {Object}
# These will be assigned to users who haven't set their own display names
# to encourage them to personalize their profiles

Absentminded Astronaut
Adventurous Avocado
Ambitious Antelope
Artistic Asparagus
Bouncy Broccoli
Brave Buffalo
Bubbly Butterfly
Calm Camel
Careful Carrot
Cheerful Cheetah
Courageous Cow
Curious Cactus
Dancing Dolphin
Daring Dragonfly
Delightful Donkey
Determined Duck
Dramatic Dragon
Dreamy Dandelion
Eager Eagle
Eccentric Elephant
Enthusiastic Emu
Excited Echidna
Fancy Flamingo
Fearless Ferret
Friendly Fox
Frisky Frog
Fuzzy Ferret
Gentle Giraffe
Giggly Goat
Glamorous Goose
Gleeful Gazelle
Graceful Grasshopper
Happy Hedgehog
Hasty Hamster
Helpful Hippo
Hopeful Hedgehog
Humble Hummingbird
Hungry Hedgehog
Imaginative Iguana
Inquisitive Ibex
Inspired Impala
Jolly Jellyfish
Joyful Jaguar
Jumping Jackal
Kind Kangaroo
Laughing Llama
Lively Lemur
Lovable Llama
Lucky Leopard
Magical Marmot
Merry Meerkat
Mischievous Monkey
Mysterious Moose
Nimble Newt
Optimistic Otter
Outgoing Owl
Peaceful Penguin
Perky Platypus
Playful Panda
Proud Peacock
Quiet Quokka
Quick Quail
Radiant Raccoon
Rambunctious Rabbit
Relaxed Rhino
Resilient Rooster
Rowdy Raccoon
Sassy Squirrel
Silly Sloth
Sleepy Snail
Sneaky Snake
Sparkly Sparrow
Speedy Spider
Spunky Seal
Squiggly Squid
Stubborn Stork
Sunny Swan
Surprised Shark
Suspicious Skunk
Sweet Sloth
Terrific Turtle
Thoughtful Tiger
Tiny Toucan
Tricky Trout
Trusting Turkey
Twinkly Toucan
Unusual Unicorn
Upbeat Urchin
Vibrant Vulture
Vivacious Vole
Wacky Walrus
Wandering Wolf
Warmhearted Whale
Wiggly Wombat
Wild Wombat
Wise Woodpecker
Witty Weasel
Wonderful Wolf
Zany Zebra
Zealous Zebra
Zippy Zebra 
